"Colors","CMC","Name","Rarity","Type","Card Kingdom","TCGPlayer","Face to Face","Cardmarket","Cardhoarder","Salt","Decks","Inclusion"
"undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"","1","Sol Ring","uncommon","Artifact","1.79","1.3","102.21","0.64","0.04","1.2509960159362548","5212739","5212739"
"","2","Arcane Signet","uncommon","Artifact","0.69","0.46","0.72","0.34","0.05","0.8181818181818182","4486656","4486656"
"W","1","Swords to Plowshares","uncommon","Instant","1.99","1.15","1.82","0.81","0.04","0.615234375","1778786","1778786"
"W","1","Path to Exile","uncommon","Instant","1.49","0.99","1.45","0.76","0.03","0.504970178926442","1342298","1342298"
"G","3","Cultivate","common","Sorcery","0.99","0.63","1.09","0.33","0.02","0.1577909270216963","1285919","1285919"
"U","2","Counterspell","uncommon","Instant","2.99","1.53","2.18","0.33","0.04","0.8853503184713378","1287272","1287272"
"G","3","Beast Within","uncommon","Instant","1.79","0.97","1.81","0.51","0.31","0.31898238747553825","1048666","1048666"
"G","2","Farseek","common","Sorcery","1.79","0.74","1.45","0.05","0.03","0.16167664670658688","1006409","1006409"
"G","2","Rampant Growth","common","Sorcery","0.69","0.44","0.55","0.17","0.03","0.15992292870905583","992231","992231"
"R","9","Blasphemous Act","rare","Sorcery","3.49","1.82","2.54","1.93","0.02","0.657250470809792","1007338","1007338"
"U,B","2","Talisman of Dominance","uncommon","Artifact","0.99","0.72","1.45","0.41","0.03","0","495768","495768"
"G","2","Nature's Lore","uncommon","Sorcery","3.49","2.51","3.64","1.96","0.04","0.1641509433962264","910963","910963"
"R","3","Chaos Warp","rare","Instant","0.69","0.51","0.72","0.26","0.24","0.47953216374269003","937027","937027"
"B,G","2","Assassin's Trophy","rare","Instant","3.99","2.66","3.64","1.75","0.02","0.33589251439539336","395652","395652"
"G","2","Heroic Intervention","rare","Instant","13.99","10.76","14.56","8.94","0.02","0.9146757679180884","865564","865564"
"G","3","Kodama's Reach","common","Sorcery","2.49","1.45","2.18","0.63","0.03","0.16860465116279072","864471","864471"
"U,R","2","Talisman of Creativity","uncommon","Artifact","2.29","1.13","2.18","0.94","0.03","0","408944","408944"
"B,R","2","Rakdos Signet","uncommon","Artifact","1.29","0.71","1.45","0.49","0.03","0","393166","393166"
"U,B","2","Dimir Signet","common","Artifact","0.79","0.42","0.72","0.02","0.03","0","425611","425611"
"G","1","Birds of Paradise","rare","Creature","10.99","7.85","8.74","4.6","0.02","0.27514231499051245","797008","797008"
"B,R","2","Talisman of Indulgence","uncommon","Artifact","1.99","1.21","1.45","1.05","0.03","0","380561","380561"
"","2","Swiftfoot Boots","uncommon","Artifact","2.49","1.26","1.81","0.97","0.03","0.3934426229508196","1690513","1690513"
"U,R","2","Izzet Signet","common","Artifact","0.79","0.31","0.72","0.3","0.03","0","380501","380501"
"U","3","Rhystic Study","rare","Enchantment","64.99","51","58.28","31.25","1.96","2.607954545454544","796376","796376"
"W,B","2","Orzhov Signet","common","Artifact","0.69","0.29","0.55","0.21","0.03","0.1","365220","365220"
"W,B","2","Talisman of Hierarchy","uncommon","Artifact","1.79","0.7","1.81","0.78","0.03","0","363186","363186"
"U","2","Cyclonic Rift","mythic","Instant","44.99","36.5","32.78","25.66","0.02","2.3954802259887","780892","780892"
"","2","Lightning Greaves","uncommon","Artifact","6.99","4.6","6.55","3.24","0.03","0.6370808678500982","1549005","1549005"
"B,R,G","1","Ignoble Hierarch","rare","Creature","1.99","1.04","2.18","1.41","0.43","0.06486486486486491","143996","143996"
"W,U","2","Talisman of Progress","uncommon","Artifact","0.79","0.41","0.72","0.19","0.03","0","340211","340211"
"W,B","3","Anguished Unmaking","rare","Instant","2.99","1.63","2.54","1.72","0.02","0.3333333333333332","343563","343563"
"W,U","2","Azorius Signet","uncommon","Artifact","0.49","0.25","0.55","0.17","0.03","0.25","334329","334329"
"G","2","Three Visits","uncommon","Sorcery","7.99","6.65","7.28","6.34","0.12","0.18775510204081639","705133","705133"
"W","3","Generous Gift","uncommon","Instant","1.29","0.83","1.45","0.43","0.03","0.3575525812619503","690873","690873"
"R,W","2","Talisman of Conviction","uncommon","Artifact","0.35","0.29","0.36","0.2","0.03","0.4444444444444444","337977","337977"
"R,W","2","Boros Charm","uncommon","Instant","5.99","4","5.09","3.82","0.04","0.4259634888438134","337107","337107"
"R,G","3","Rhythm of the Wild","uncommon","Enchantment","5.49","3.5","5.09","2.07","0.03","0.44805194805194803","315015","315015"
"W","4","Smothering Tithe","mythic","Enchantment","42.99","35.7","43.71","22.4","0.03","2.3353474320241725","666392","666392"
